Spinte 1;Panca inclinata Multipower 30°;Petto;2x10 riscaldamento + 4x8 pesanti;03:00;Panca a 30°. Pesante vuol dire PESANTE;Provati risc 20kg, 30*8+25*8*2;provare 8x30+30 e poi a scendere
Spinte 1;Chest press;Petto;2x10 + 1x6+6(scarico 20%)*;02:00;"Usa Chest Press sala tapis roulant. 
1x6+6(scarico 20%): Fai 6 ripetizioni, scarica 20%, fai altre 6";15*10risc/3*8-32,5 massimale 35;Mantenere fino a primo dicembre
Spinte 1;Croci ai cavi alti;Petto;2x10 + 1x10 - pausa 20s - 1xMAX*;02:00;"Usa cavi della panatta vicino ai manubri. Imposta l'altezza a 3 tacche al di sopra del'altezza delle spalle.
1x10 - pausa 20s - 1xMAX: fai una serie da 10, riposa 20s, fai un'ultima serie con tutte quelle che escono";3*17,5;
Spinte 1;Alzate laterali manubri in piedi;Spalle;4x10;02:00;;16;stabilizzare e poi iniziare a salire
Spinte 1;Push down barra;Tricipiti;1x10 riscaldamento + 4x8 pesante;02:00;Pesante vuol dire PESANTE;3*35;
GAMBE 1;Leg extension;Gambe;2x10 riscaldamento + 3x8 pesanti;02:00;Pesante vuol dire PESANTE;35gambasingola 3*75kg pausa 1sec;
GAMBE 1;Leg press 45;Gambe;1x10+3x8;02:00;;1*320ris + 3*6/8*400;
GAMBE 1;Squat MultiPower;Gambe;Va bene anche la macchina per le accosciate con Max 180kg;02:00;8-10 vuol dire prova a farne 10, se ne escono 8 va bene lo stesso.;70kg;1*avvicinamento 3*8/10
GAMBE 1;Lug curl seduto;Gambe;3x10;02:00;;70*2+1*60;
GAMBE 1;Affondi in camminata;Gambe;3x20;02:00;;;
GAMBE 1;Polpacci alla macchina;Gambe;4x15;01:00;;190;3x15
TIRATA 1;Lat pull down machine;Dorso;2 riscaldamento + 4x8 pesanti;03:00;Pesante vuol dire PESANTE;1*10+3*8;40*1+60*8/10
TIRATA 1;Lat machine presa triangolo;Dorso;3x10;02:00;;1*10+3*8;50+3*80
TIRATA 1;Row machine singola presa stretta;Dorso;3x10;02:00;;3*8/10;Pacco pesi
TIRATA 1;Pulley;Dorso;3x10;02:00;;3*8*90;
TIRATA 1;Scrollate Manubri;Trapezi;4x10;02:00;;3*8*45;
TIRATA 1;Curl cavo basso barra;Bicipiti;1 riscaldamento + 3x10 + 1x6+6(scarico 20%);02:00;;;
SPINTE 2;Lento avanti manubri;Spalle;2x10 riscaldamento + 4x8 pesanti;03:00;Pesante vuol dire PESANTE;2x8kg + 4x12kg;
SPINTE 2;Alzate laterali in piedi;Spalle;3x10 + 1x6+6 (scarico 20%);02:00;;3*12kg;
SPINTE 2;Distensioni manubri su inclinata;Petto;4x8;02:00;;3*28;
SPINTE 2;Croci alla macchina;Petto;3x10;02:00;;3*15;1avvicinamento con poco peso
SPINTE 2;Alzate frontali manubri da seduto;Spalle;4x10;02:00;;3*10/12;
SPINTE 2;Panca stretta MP;Tricipiti;3x10;02:00;;15;Avvicinamento 
SPINTE 2;Push down fune;Tricipiti;2x10+1x10+1xMAX;02:00;1x10 - pausa 20s - 1xMAX: fai una serie da 10, riposa 20s, fai un'ultima serie con tutte quelle che escono;2*20+1*20 con scarico ;
GAMBE 2;Stacchi rumeni bilanciere MP o libero;Gambe;2 riscaldamento + 3x10;03:00;;2*70 risc+2*120+1*130;
GAMBE 2;Leg curl sdraiato o seduto;Gambe;2x10 + 1x6+6 (scarico 20%);02:00;1x6+6(scarico 20%): Fai 6 ripetizioni, scarica 20%, fai altre 6;3*60;
GAMBE 2;Leg extension;Gambe;2 riscaldamento + 3x10;02:00;;3*pieno 6/8colpi;
GAMBE 2;Bel squat piedi larghi;Gambe;3x10;02:00;;;
GAMBE 2;Leg press orizzontale;Gambe;3x10;02:00;;3*pieno 6/8colpi;
GAMBE 2;Polpacci alla macchina;Gambe;3x12;02:00;;;
TIRATA 2;Lat machine presa prona;Schiena;2 riscaldamento + 4x8 pesanti;03:00;Pesante vuol dire PESANTE presa un po' più stretta;2*50+3*80;
TIRATA 2;Rematore bilanciere presa prona;Schiena;3x10;02:00;;3*120 stentate forse meglio qualche kg in meno;
TIRATA 2;Rematore manubri busto in appoggio;Schiena;4x10;02:00;;30kg;Tranquillo... si può aumentare ho fatto10rep
TIRATA 2;Pull down fune o barra V;Tricipiti;2x10 + 1x10-pausa 20s-1xMAX;02:00;1x10 - pausa 20s - 1xMAX: fai una serie da 10, riposa 20s, fai un'ultima serie con tutte quelle che escono;;3*35
TIRATA 2;Tirate posteriori al cavo;Schiena;3x10;02:00;;3*35 tranqui;
TIRATA 2;Curl bilanciere EZ in piedi;Bicipiti;3x10;02:00;;3*10;
TIRATA 2;Hammer curl manubri;Bicipiti;3x10;02:00;;14kg mmm, forse meglio 12;
