gruppo_lavoro;esercizi;parte_corpo;serie;recupero;note;reps;avanzamento_pesi
Spinte 1;Panca Piana;Petto;3;02:00;Bilateral;8-10;20kg
Spinte 1;Military Press;Spalle;3;02:00;Overhead;8-10;10kg
Spinte 1;Push Up;Petto;3;01:30;Corpo libero;12-15;0kg
Spinte 1;Lateral Raise;Spalle;3;01:30;Laterali;12-15;3kg
Tirata 1;Stacco;Schiena;3;02:30;fondamentale;6-8;60kg
Tirata 1;Rematore;Schiena;3;02:00;Bilateral;10-12;20kg
Tirata 1;Lat Machine;Schiena;3;01:30;Laten;12-15;25kg
Tirata 1;Curl Bicipiti;Bicipiti;3;01:30;Direct;12-15;8kg
Gambe 1;Squat;Gambe;3;02:30;fondamentale;8-10;40kg
Gambe 1;Leg Extension;Gambe;3;01:30;Isolato;12-15;30kg
Gambe 1;Calf Raise;Polpacci;3;01:30;Alzate;15-20;20kg
Gambe 1;Leg Curl;Gambe;3;01:30;Isolato;12-15;25kg
Spalle/Petto;Panca Piana;Petto;4;02:00;Principale;6-8;60kg
Spalle/Petto;Military Press;Spalle;3;02:00;Principale;8-10;25kg
Spalle/Petto;Croci;Petto;3;01:30;Iso petto;12-15;10kg
Spalle/Petto;Face Pull;Spalle;3;01:30;Rear delt;15-20;12kg
Schiena 2;Stacco;Schiena;3;02:30;Principale;5-8;80kg
Schiena 2;Pull Up;Schiena;3;02:00;Corpo libero;6-10;0kg
Schiena 2;T-Bar;Schiena;3;02:00;Barra;10-12;20kg
Schiena 2;Curl Martello;Bicipiti;3;01:30;Alternato;12-15;6kg
